Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
497	2M-2E	Fila 3	GQ  42	E	E2	Geoquímica	Handbook of geochemistry Vol. II - 4	WEDEPOHL, K.H. 	Ingles	Libro	Alemania	Springer Study Edition	1978	Primera	1	Bueno	
498	2M-2E	Fila 3	GQ  43	E	E2	Geoquímica	Handbook of geochemistry Vol. II - 5	WEDEPOHL, K.H. 	Ingles	Libro	Alemania	Springer Study Edition	1978	Primera	1	Bueno	
499	2M-2E	Fila 3	GQ  44	E	E2	Geoquímica	Chemical Equilibria in the Earth	BROECKER, W.S., OVERSBY, V. M.	Ingles	Libro	EEUU	McGraw-Hill	1971	Primera	1	Bueno	
500	2M-2E	Fila 3	GQ  45	E	E2	Geoquímica	Isótopos radiactivos	STEIN, J.	Español	Libro	Madrid-España	Alhambra	1973	Primera	1	Bueno	
501	2M-2E	Fila 3	GQ  46	E	E2	Geoquímica	Analysis of Geological Materials 	RIDDLE, C.	Ingles	Libro	New York-EEUU	Marcel Dekker, Inc	1993	Primera	1	Bueno	
502	2M-2E	Fila 3	GQ  47	E	E2	Geoquímica  	Analitical Methods Used in Geochemical Exploration by the U.S. Geological Survey  (copia)	WARD, F.N., LAKIN,, R.W., CANNEY, F.C.	Ingles	Libro	Washington-EEUU	U.S. Goverment Printing Office	1963	Primera	1	Malo	
503	2M-2E	Fila 3	GQ  48	E	E2	Geoquímica	Atomic – Absortion Methods of Analysis Useful in Geochemical exploration (copia)	WARD, F.N., NAKAGAWA, H.M., HARMS, T.F., VANSICKLE, G.H.	Ingles	Libro	Washington-EEUU	U.S. Goverment Printing Office	1969	Primera	1	Bueno	
504	2M-2E	Fila 3	GQ  49	E	E2	Geoquímica	Rapid Methods of Trace Analysis for Chemical Applications	STANTON, R. E.	Ingles	Libro	Gran Bretaña	Edward Arnold Publishers, Ltd	1966	Primera	1	Malo	
505	2M-2E	Fila 3	GQ  50	E	E2	Geoquímica	Isotope Geology 	ALLEGRE, C.J.	Ingles	Libro	New York-EEUU	Cambridge University Press	2008	Primera	1	Bueno	
506	2M-2E	Fila 3	GQ  51	E	E2	Geoquímica	Radiogenic Isotope Geology	DICKIN, A. P.	Ingles	Libro	New York-EEUU	Cambridge University Press	2005	Segunda	1	Bueno	
507	2M-2E	Fila 3	GQ  52	E	E2	Geoquímica	Geocemistry an introduction second edition	CAMBRIDGE	Ingles	Libro	New York-EEUU	Cambridge University Press	2009	Segunda	1	Bueno	
508	2M-2E	Fila 3	GQ 53	E	E2	Geoquímica	A global Geochemical Database	ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA LA EDUCACION, LA CIENCIA Y LA CULTURA	Ingles	Libro	París-Francia	UNESCO	1995	Primera	1	Bueno	
509	2M-2E	Fila 3	GQ 54 	E	E2	Geoquimica 	The Management and Analysis of Regional Geochemical Data 	GARRET, R., KANE, V., ZEIGLER, K.	Ingles 	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1980	Primera	1	Bueno	
510	2M-2E	Fila 3	GQ 55	E	E2	Geoquimica 	Geoquimica 	RAMKAMA, K., SAHAMA, TH. G.	Español	Libro	Málaga-España	Aguilar	1962	Segunda	1	Malo	
511	2M-2E	Fila 4	GF 01	E	E2	Geofísica	Subred Geodesica Minera (Volumen 3)	INSTITUTO NACIONAL DE ESTADÍSTICA, GEOGRAFÍA E INFORMÁTICA	Español	Libro	Mexico	INSTITUTO NACIONAL DE ESTADÍSTICA, GEOGRAFÍA E INFORMÁTICA	1994	Primera	1	Nuevo	
512	2M-2E	Fila 4	GF 02	E	E2	Geofísica	Introducción a la Prospección Geofísica	DOBRIN, M. B.	Español	Libro	Barcelona-España	Ediciones Omega	1975	Segunda	2	Malo	
513	2M-2E	Fila 4	GF 03	E	E2	Geofísica	Introduction to Geophysical Prospecting	DOBRIN, M.B.	Ingles	Libro	EEUU	McGraw-Hill	1976	Tercera	1	Bueno	
514	2M-2E	Fila 4	GF 04	E	E2	Geofísica	Prospección Geoeléctrica en Corriente Continua	ORELLANA, E.	Ingles	Libro	Madrid-España	Paraninfo	1982	Segunda	1	Malo	
515	2M-2E	Fila 4	GF 05	E	E3	Geofísica	Prospección Geoeléctrica por Campos Variables	ORELLANA, E.	Español	Libro	Madrid-España	Paraninfo	1974	Primera	1	Malo	
516	2M-2E	Fila 4	GF 06	E	E3	Geofísica	Introduction to Geophysics	HOWELL, B.F. Jr.	Ingles	Libro	New York-EEUU	McGraw-Hill	1959	Primera	1	Bueno	
517	2M-2E	Fila 4	GF 07	E	E3	Geofísica	Electromagnetic Proving in Geophysics	WAIT, J. R.	Ingles	Libro	EEUU	The Golen Press	1971	Primera	1	Bueno	
518	2M-2E	Fila 4	GF 08	E	E3	Geofísica	Electronic Processes in Materials	AZAROFF, L. V.	Ingles	Libro	EEUU	McGraw-Hill	1963	Primera	1	Bueno	
519	2M-2E	Fila 4	GF 09	E	E3	Geofísica	Introducción a la Geofísica 	LOZANO CALVO, L.	Español	Libro	Madrid-España	Paraninfo	1972	Primera	1	Bueno	
520	2M-2E	Fila 4	GF 10	E	E3	Geofísica	Seismic Prospecting Instruments	EVENDEN, B. S., STONE, D.R., ANSTEY, N.A.	Ingles	Libro	Alemania	Gebruder Borntraeger	1970	Primera	2	Bueno	
521	2M-2E	Fila 4	GF 11	E	E3	Geofísica	Wave Propagation	TOLSTOY,  I.	Ingles	Libro	EEUU	McGraw-Hill	1973	Primera	1	Bueno	
522	2M-2E	Fila 4	GF 12	E	E3	Geofísica	Método de Polarización Inducida	SEIGEL, H. O.	Español	Libro	Santiago-Chile	Universitaria	1972	Primera	2	Bueno	
523	2M-2E	Fila 4	GF 13	E	E3	Geofísica	Geofísica Aplicada para Ingenieros y Geólogos	GRIFFITHS, D. H.	Español	Libro	Madrid-España	Paraninfo	1972	Primera	1	Malo	
524	2M-2E	Fila 4	GF 14	E	E3	Geofísica	Geophysical Well Logging	DAKHNOV, V. N.	Ingles	Libro	Colorado-EEUU	S/E	1962	Primera	1	Malo	
525	2M-2E	Fila 4	GF 15	E	E3	Geofísica	Geofísica Aplicada a la Hidrogeología 	ASTIER, J. L.	Español	Libro	Madrid-España	Paraninfo	1975	Primera	1	Malo	
526	2M-2E	Fila 4	GF 16	E	E3	Geofísica	Interpretation Theory in Applied Geophysics 	GRANT, F.S., WEST, G.F.	Ingles	Libro	EEUU	McGraw-Hill	1965	Primera	1	Bueno	
527	2M-2E	Fila 4	GF 17	E	E3	Geofísica	Geofísica Minera	PARASNIS, D. S.	Español	Libro	Madrid-España	Paraninfo	1971	Primera	1	Malo	
528	2M-2E	Fila 4	GF 18	E	E3	Geofísica	Principios de Geofísica Aplicada 	PARASNIS, D. S.	Español	Libro	Madrid-España	Paraninfo	1970	Primera	1	Bueno	
529	2M-2E	Fila 4	GF 19	E	E3	Geofísica	Log Analysis of Subsurface Geology	DOVETON, J.H.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1986	Primera	1	Bueno	
530	2M-2E	Fila 4	GF 20	E	E3	Geofísica	Curso de Sismología Aplicada (copia)	OLHOVICH, V.A.	Español	Libro	Mexico	Reverté S.A	1959	Primera	1	Bueno	
531	2M-2E	Fila 4	GF 21	E	E3	Geofísica	An Introduction, to Seismic Interpretation	McQUILLIN, R., BACON, M., BARCLAY, W.	Ingles	Libro	Reino Unido	Graham & Trotman Ltd	1979	primera	1	Bueno	
532	2M-2E	Fila 4	GF 22	E	E3	Geofísica	Applied Geophysical Surveys in Ecuador in Technical Cooperation with the DGGM	GREENWOOD, P.G., SMITH, I.F.	Ingles	Libro	Londres-Reino Unido	NERC	1978	Primera	2	Bueno	
533	2M-2E	Fila 4	GF 23	E	E3	Geofísica	Practical geophysics for the exploration geologist	VAN BLARICON, R.	Ingles	Libro	EEUU	Northwest Mining Association	1980	Primera	1	Malo	
534	2M-2E	Fila 4	GF 24	E	E3	Geofísica	Aplications Manual for Portable Magnetometers	BREINER, S.	Ingles	Libro	EEUU	Geometrics	1973	Primera	1	Bueno	
535	2M-2E	Fila 4	GF 25	E	E3	Geofísica 	The Mc. Phar Multi-Mode I. P. System (copia)	SMITH, R. J., HAILOF, P.G., SEVENHUYSEN, J.	Ingles	Libro	Ontario-Canada	McPhar Geophysics Limited	s/f	Primera	1	Malo	
536	2M-2E	Fila 4	GF 26	E	E3	Geofísica  	The Induced Polarization Method (copia)	HALLOF, P. G.	Ingles	Libro	Ontario-Canada	McPhar Geophysics Limited	1972	Primera	1	Malo	
537	2M-2E	Fila 4	GF 27	E	E3	Geofísica	The applied potential method in the search for massive sulphides at York Harbour, New Foundland	PELTON, W.H., HALLOF, P. G.	Ingles	Libro	Ontario-Canada	McPhar Geophysics Limited	1971	Primera	3	Bueno	
538	2M-2E	Fila 4	GF 28	E	E3	Geofísica	Seismicity of Illinois	HEIGOLD, P. C., LARSON, T. H.	Ingles	Libro	Illinois-EEUU	S/E	1990	Primera	1	Bueno	
539	2M-2E	Fila 4	GF 29	E	E3	Geofísica	Seismic reflection and seismic refraction surveying in Northeastern Illinois	HEIGOLD, P. C.	Ingles	Libro	Illinois-EEUU	S/E	1990	Primera	1	Bueno	
540	2M-2E	Fila 4	GF 30	E	E3	Geofísica	Geophysical and geodetic requirements for global gavity field measurement 1987 - 2000	National Aeronautics and Space Administration	Ingles	Libro	Colorado-EEUU	S/E	1987	Primera	1	Bueno	
541	2M-2E	Fila 4	GF 31	E	E3	Geofísica	Theoretical induced polarization and resistivity response Vol. 1 y 2	LUDWING, C.	Ingles	Libro	Arizona-EEUU	HEINRICHS GEOEXPLORATION COMPANY	1967	Primera	2	Malo	
542	2M-4E	Fila 5	GF 32	E	E3	Geofísica	Geofísica Aplicada	FIGUEROLA, J.C.	Español	Libro	España	LITOPRINT	1974	Primera	1	Bueno	
543	2M-4E	Fila 5	GF 33	E	E3	Geofísica	"Estudio geofísico y de mecánica de suelos ""Parque eólico Villonaco"""	MONTALVO, M.	Español	Libro	Loja-Ecuador	S/E	2004	Primera	1	Bueno	
544	2M-4E	Fila 5	GF 34	E	E3	Geofísica	Physics for Technical students	ANDERSON, W. B.	Ingles	Libro	New York-EEUU	McGraw-Hill	1937	Tercera	1	Bueno	Falta cambiar los que stan RF que son tambien geofisica y catalogarlos
545	2M-4E		GF 35	E	E3	Geofísica	Geophysics for the mineral exploration Geocientist	DENTITH, M., MUDGE, S.	Ingles	Libro	Londres-Reino Unido	Cambridge University Press	2014	Primera	1	Nuevo	INGRESADO AGO/23
546	2M-3E	Fila 1	YGe 01	E	E4	Yacimientos-Geol. Económica	The Iron Ore Deposits of Europe Vol. 1	ZITZMANN, A. 	Ingles	Libro	Hannover-Alemania	Federal Institute for Geosciences and Natural Resources	1977	Primera	1	Bueno	
547	2M-3E	Fila 1	YGe 02	E	E4	Yacimientos-Geol. Económica	The Iron Ore Deposits of Europe Vol. 2	ZITZMANN, A. 	Ingles	Libro	Hannover-Alemania	Federal Institute for Geosciences and Natural Resources	1978	Primera	1	Bueno	
548	2M-3E	Fila 1	YGe 03	E	E4	Yacimientos-Geol. Económica	Estudio de los Recursos en Mineral de Hierro del Mundo	NACIONES UNIDAS	Español	informe	New York-EEUU	Naciones Unidas	1972	Primera	1	Malo	
549	2M-3E	Fila 1	YGe 04	E	E4	Yacimientos-Geol. Económica	Platinum-Group Elements: Mineralogy, Geology, Recovery	CABRI, L.J.	Ingles	Libro	Ontario-Canada	The Canadian Institute of Mining and Metallurgy	1981	Primera	1	Bueno	
550	2M-3E	Fila 1	YGe 05	E	E4	Yacimientos-Geol. Económica	Mineral Deposit Models USGS Bulletin 1693	COX, D. P., SINGER, D. A.	Ingles	Boletin	Washington-EEUU	U.S. Goverment Printing Office	1987	Primera	1	Malo	
551	2M-3E	Fila 1	YGe 06	E	E4	Yacimientos-Geol. Económica	Facteurs contrölant les minéralisations sulfurees de nickel	BESSON, M.	Frances	Libro	París-Francia	B.R.G.M	1979	Primera	1	Bueno	
552	2M-3E	Fila 1	YGe 07	E	E4	Yacimientos-Geol. Económica	Les paléosurfaces et leur métallogenèse D3	SAMAMA, J.C.	Frances	Libro	París-Francia	B.R.G.M	1980	Primera	1	Malo	
553	2M-3E	Fila 1	YGe 08	E	E4	Yacimientos-Geol. Económica	Minéralisations liées aux granitoids D4	JOHAN, Z.	Frances	Libro	París-Francia	B.R.G.M	1980	Primera	1	Bueno	
554	2M-3E	Fila 1	YGe 09	E	E4	Yacimientos-Geol. Económica	Geology and geochemistry of ephitermal systems	BERGER, R., BETHKE, P.M.	Ingles	Libro	EEUU	Society Of Economic Geologist	1986	Primera	1	Malo	
555	2M-3E	Fila 1	YGe 10	E	E4	Yacimientos-Geol. Económica	Geología minera del oro de veta	ORTIZ DELGADO, H.	Español	Libro	Colombia	Walter Jaramillo A.P	1991	Primera	1	Malo	
556	2M-3E	Fila 1	YGe 11	E	E4	Yacimientos-Geol. Económica	Geology and Economic Minerals of Canada Part A	DOUGLAS, R. J. W. 	Ingles	Libro	Ottawa-Canada	Geological Survey of Canada	1981	Primera	1	Bueno	
557	2M-3E	Fila 1	YGe 12	E	E4	Yacimientos-Geol. Económica	Geology and Economic Minerals of Canada Part B	DOUGLAS, R. J. W. 	Ingles	Libro	Ottawa-Canada	Geological Survey of Canada	1981	Primera	1	Bueno	
558	2M-3E	Fila 1	YGe 13	E	E4	Yacimientos-Geol. Económica	Ou Sont les Metaux Pour L'avenir?	ROUTHIER, P.	Frances	Libro	París-Francia	B.R.G.M	1980	Primera	1	Malo	
559	2M-3E	Fila 1	YGe 14	E	E4	Yacimientos-Geol. Económica	Geology and Mineral Resources of Japan 	TANAKA, K., NOZAWA, T.	Ingles	Libro	Tokyo-Japón	Geological Survey of Japan	1977	tercera	1	Bueno	
560	2M-3E	Fila 1	YGe 15	E	E4	Yacimientos-Geol. Económica	Ores in Sediments	AMSTUTZ, G. C., BERNARD, A.J. 	Ingles	Libro	Alemania	Springer Study Edition	1976	Primera	1	Bueno	
561	2M-3E	Fila 1	YGe 16	E	E4	Yacimientos-Geol. Económica	Genesis of stratiform lead-zinc-barite-fluorite deposits in car-bonate rocks.  The so-called Mississipi valley type deposits	BROWN, J. S. 	Ingles	Libro	Lancaster-EEUU	Lancaster Press	1967	Primera	1	Malo	
562	2M-3E	Fila 1	YGe 17	E	E4	Yacimientos-Geol. Económica	Magmatic Ore Deposits A symposium	WILSON, H. D.B.	Ingles	Libro	Lancaster-EEUU	Lancaster Press	1969	Primera	1	Malo	
563	2M-3E	Fila 1	YGe 18	E	E4	Yacimientos-Geol. Económica	Ore Deposits	PARK, Ch., MacDIARMID, R.A.	Ingles	Libro	EEUU	Freeman & Company	1964	Primera	4	Bueno	a, b, c, c
564	2M-3E	Fila 1	YGe 19	E	E4	Yacimientos-Geol. Económica	Metallogeny and Plate Tectonics	STRONG, D. F. 	Ingles	Libro	Ontario-Canada	Geological Association Of Canada	1976	Primera	1	Bueno	
565	2M-3E	Fila 1	YGe 20	E	E4	Yacimientos-Geol. Económica	The Continental Crust and its Mineral Deposits	STRANGWAY, D. W. 	Ingles	Libro	Ontario-Canada	Geological Association Of Canada	1980	Primera	1	Bueno	
566	2M-3E	Fila 1	YGe 21	E	E4	Yacimientos-Geol. Económica	Ore Genesis the State of the Art	AMSTUTZ, G. C., EL GORESY, A., FREN-ZEL, G., KLUTH,C., MOH, G., WAUSCH-KUHN, A., ZIMMERMANN, R.A.	Ingles	Libro	Alemania	Springer Study Edition	1982	Primera	1	Bueno	
567	2M-3E	Fila 1	YGe 22	E	E4	Yacimientos-Geol. Económica	Metallogenetische Provinzen in Sudamerika	PUTZER, H.	Alemán	Libro	Alemania	Schweizerbart´sche Verlagsbuchhandlung	1976	Primera	1	Bueno	
568	2M-3E	Fila 1	YGe 23	E	E4	Yacimientos-Geol. Económica	The formation of mineral deposits	BATEMAN, A. M.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1951	segunda	1	Malo	
569	2M-3E	Fila 2	YGe 24	E	E4	Yacimientos-Geol. Económica	Economic Mineral Deposits	BATEMAN, A.M.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1950	segunda	1	Bueno	
570	2M-3E	Fila 2	YGe 25	E	E4	Yacimientos-Geol. Económica	Mineral Resources Appraisal	DE VERLE, P. H.	Ingles	Libro	New York-EEUU	Clarendon Press	1984	Primera	1	Bueno	
571	2M-3E	Fila 2	YGe 26	E	E4	Yacimientos-Geol. Económica	Genesis of stratiform lead-zinc-barite-fluorite deposits in car-bonate rocks.  The so-called Mississipi valley type deposits	BROWN, J. S. 	Ingles	Libro	Lancaster-EEUU	The Economic Society of Geology	1967	Primera	1	Malo	
572	2M-3E	Fila 2	YGe 27	E	E4	Yacimientos-Geol. Económica	Catálogo de los Yacimientos, Prospectos y Manifestaciones Minerales de Colombia	MUTIS JURADO, V.	Español	Libro	Bogotá-Colombia	Ingeominas	1983	Primera	1	Malo	
573	2M-3E	Fila 2	YGe 28	E	E4	Yacimientos-Geol. Económica	Metallic and industrial mineral deposits	LAMEY, C. A.	Ingles	Libro	EEUU	McGraw-Hill	1966	Primera	1	Bueno	
574	2M-3E	Fila 2	YGe 29	E	E4	Yacimientos-Geol. Económica	Methodes de la Gitologie Ensembles et Variances	NICOLINI, P.	Frances	Libro	Pto. Príncipe- Haití	Henri Deschamps	1980	Primera	1	Malo	
575	2M-3E	Fila 2	YGe 30	E	E4	Yacimientos-Geol. Económica	Artículos del Journal of  Geology, Volume 81	The Journal of Geology	Ingles	Libro	Chicago-EEUU	The University of Chicago Press	1973	Primera	1	Malo	
576	2M-3E	Fila 2	YGe 31	E	E4	Yacimientos-Geol. Económica	Mineral Forecast  2000 A. D.	STEIDLE, E.	Ingles	Libro	Pensilvania-EEUU	The Pennsylvania State College	1952	Primera	1	Malo	
577	2M-3E	Fila 2	YGe 32	E	E4	Yacimientos-Geol. Económica	Earth  Resources	SKINNER, B.I.	Ingles	Libro	EEUU	Prentice Hall, INC	1976	Primera	2	Malo	
578	2M-3E	Fila 2	YGe 33	E	E4	Yacimientos-Geol. Económica	Volcanism and ore genesis (varios artículos)	WATANABE, T.	Ingles	Libro	Tokyo-Japón	University of Tokyo Press	1970	Primera	1	Bueno	
579	2M-3E	Fila 2	YGe 34	E	E4	Yacimientos-Geol. Económica	The Geology and Mineral Resources of the Bolivian Precambrian shield 	LITHERLAND, M., ANNELLS, R.N., APPLETON, J.D., y Otros	Ingles	Libro	Inglaterra-Reino Unido	B.G.S	1986	Primera	1	Bueno	
580	2M-3E	Fila 2	YGe 35	E	E4	Yacimientos-Geol. Económica	Magmatic Ore Deposits a Symposium	WILSON, H. D. B.	Ingles	Libro	Lancaster-EEUU	University Microfilms International	1969	Primera	1	Malo	
581	2M-3E	Fila 2	YGe 36	E	E4	Yacimientos-Geol. Económica	The mineral potential and mining development in the Black Homelands of South African.	South African Government	Ingles	Libro	Sudáfrica	Chris van Rensburg Publications	1977	Primera	1	Bueno	
582	2M-3E	Fila 2	YGe 37	E	E4	Yacimientos-Geol. Económica	Bureau de Recherches Geologiques et Minieres Metalloge-niques et epoque metallogeniques per provinces. (copia)	 BILIBIN, I.	Frances	Libro	París-Francia	S/E	1955	Primera	1	Bueno	
583	2M-3E	Fila 2	YGe 38	E	E4	Yacimientos-Geol. Económica	Resources and Systems Block 1	ABBOTT, B,B., DRURY, S.A., FRANCIS.P.W., GASS, I.G.	Ingles	Libro	Gran Bretaña	The Open University 	1973	Primera	1	Malo	
584	2M-3E	Fila 2	YGe 39	E	E4	Yacimientos-Geol. Económica	Energy Resources Block 2	ABBOTT, B,B., DRURY, S.A., FRANCIS.P.W., GASS, I.G.	Ingles	Libro	Gran Bretaña	The Open University 	1976	Primera	1	Malo	
585	2M-3E	Fila 2	YGe 40	E	E4	Yacimientos-Geol. Económica	Mineral Deposits Block 3	ABBOTT, B,B., DRURY, S.A., FRANCIS.P.W., GASS, I.G.	Ingles	Libro	Gran Bretaña	The Open University 	1974	Primera	1	Malo	
586	2M-3E	Fila 2	YGe 41	E	E4	Yacimientos-Geol. Económica	Construcctional and other Bulk Materials Block 4	ABBOTT, B,B., DRURY, S.A., FRANCIS.P.W., GASS, I.G.	Ingles	Libro	Gran Bretaña	The Open University 	1974	Primera	1	Malo	
587	2M-3E	Fila 2	YGe 42	E	E4	Yacimientos-Geol. Económica	Water Resources Block 5	ABBOTT, B,B., DRURY, S.A., FRANCIS.P.W., GASS, I.G.	Ingles	Libro	Gran Bretaña	The Open University 	1974	Primera	1	Malo	
588	2M-3E	Fila 2	YGe 43	E	E4	Yacimientos-Geol. Económica	Implications: Limits to Growth Block 6	ABBOTT, B,B., DRURY, S.A., FRANCIS.P.W., GASS, I.G.	Ingles	Libro	Gran Bretaña	The Open University 	1974	Primera	1	Malo	
589	2M-3E	Fila 2	YGe 44	E	E4	Yacimientos-Geol. Económica	World Atlas of Geology and Mineral Deposits	DERRY, D. R.	Ingles	Atlas	Inglaterra-Reino Unido	John Wiley and Sons, INC	1980	Primera	1	Bueno	
590	2M-3E	Fila 2	YGe 45	E	E4	Yacimientos-Geol. Económica	Atlas of the European Mineral Industry	ROBERTSON, A.	Ingles	Atlas	Inglaterra-Reino Unido	The Mining Journal	1991	Primera	1	Bueno	
591	2M-3E	Fila 2	YGe 46	E	E5	Yacimientos-Geol. Económica	Atlas of the Latin American and Caribean Mineral Industry	ROBERTSON, A.	Ingles	Atlas	Inglaterra-Reino Unido	The Mining Journal	1992	Primera	1	Bueno	
592	2M-3E	Fila 2	YGe 47	E	E5	Yacimientos-Geol. Económica	Mineral Industry Profiles Ecuador	DELBRIDGE, C. G., ROBERTSON, A.	Ingles	Libro	Ontario-Canada	S/E	1992	Primera	1	Bueno	
593	2M-3E	Fila 2	YGe 48	E	E5	Yacimientos-Geol. Económica	Second Industrial Minerals Congress	FLEMING, R. F.S.	Ingles	Libro	Inglaterra-Reino Unido	Enterprise Press	1977	Primera	1	Bueno	
594	2M-3E	Fila 2	YGe 49	E	E5	Yacimientos-Geol. Económica	Hydrothermal Developments in the Coquimbo Province	KENTS, P.	Ingles	Libro	Santiago-Chile	S/E	1964	Primera	1	Malo	
595	2M-3E	Fila 2	YGe 50	E	E5	Yacimientos-Geol. Económica	Ressources minérales Métalliques et non métalliques: perspectives et développements	Université Catholique de Louvain	Frances	Libro	Francia	S/E	1988	Primera	1	Bueno	
596	2M-3E	Fila 2	YGe 51	E	E5	Yacimientos-Geol. Económica	Investigación de metales preciosos en el complejo volcánico neógeno-cuaternario de los Andes Centrales	Servicio Geológico de Bolivia., Servicio Nacional de Geología y Minería., Instituto Geológico, Minero y Metalúrgico., Servicio Geológico de los Estados Unidos., Banco Interamericano de Desarrollo	Español	Libro	Bolivia	Publicidad Arte y Producciones	1993	Primera	1	Bueno	
597	2M-3E	Fila 2	YGe 52	E	E5	Yacimientos-Geol. Económica	El Perú Minero Tomo III, Geología	SAMAMÉ BOGGIO, M.	Español	Libro	Lima-Perú	Perú	1980	Primera	1	Bueno	
598	2M-3E	Fila 2	YGe 53	E	E5	Yacimientos-Geol. Económica	El Perú Minero Tomo IV, Yacimientos Vol. 1	SAMAMÉ BOGGIO, M.	Español	Libro	Lima-Perú	Perú	1980	Primera	1	Bueno	
599	2M-3E	Fila 2	YGe 54	E	E5	Yacimientos-Geol. Económica	El Perú Minero Tomo IV, Yacimientos Vol. 2	SAMAMÉ BOGGIO, M.	Español	Libro	Lima-Perú	Perú	1980	Primera	1	Bueno	
600	2M-3E	Fila 2	YGe 55	E	E5	Yacimientos-Geol. Económica	El Perú Minero Tomo IV, Yacimientos Vol. 3	SAMAMÉ BOGGIO, M.	Español	Libro	Lima-Perú	Perú	1981	Primera	1	Bueno	
601	2M-3E	Fila 2	YGe 56	E	E5	Yacimientos-Geol. Económica	El Perú Minero V. XIII, Bibliografía	SAMAMÉ BOGGIO, M.	Español	Libro	Lima-Perú	Perú	1984	Primera	1	Bueno	
602	2M-3E	Fila 3	YGe 57	E	E5	Yacimientos-Geol. Económica	Advances in Geology of the Porphyry Copper Deposits Southwestern North America	TITLEY, S. R.	Ingles	Libro	Arizona-EEUU	The University of Arizaona Press	1982	Primera	1	Bueno	
603	2M-3E	Fila 3	YGe 58	E	E5	Yacimientos-Geol. Económica	Geology of the Porphyry Copper Deposits Southwestern North America	TITLEY, S. R., HICKS, C. L.	Ingles	Libro	Arizona-EEUU	The University of Arizaona Press	1966	Primera	1	Bueno	
604	2M-3E	Fila 3	YGe 59	E	E5	Yacimientos-Geol. Económica	Investigation of Porphyry Copper type Mineralization in the provinces of Mendoza, Neuquen and San Juan Argentina	United Nations Development Program	Ingles	Libro	Argentina	S/E	1968	Primera	1	Malo	INVESTIGACION
605	2M-3E	Fila 3	YGe 60	E	E5	Yacimientos-Geol. Económica	Geology of the Porphyry Copper Deposits of the Western Hemisphere	HOLLISTER , V. F.	Ingles	Libro	New York-EEUU	The American Institute of Mining, Metallurgical and Petroleum	1978	Primera	1	Malo	
606	2M-3E	Fila 3	YGe 61	E	E5	Yacimientos-Geol. Económica	Los depósitos de Pórfidos Cupríferos	VAN THOURNOUT, F., MERLYN, M.	Español	Libro	Bélgica	Mision de Asistencia Técnica de Bégica	1981	Primera	1	Bueno	
607	2M-3E	Fila 3	YGe 62	E	E5	Yacimientos-Geol. Económica	Porphyry Deposits of the Canadian Cordillera	BROWN, S. A.	Ingles	Libro	Canada	Committee	1976	Primera	1	Bueno	
608	2M-3E	Fila 3	YGe 63	E	E5	Yacimientos-Geol. Económica	The Copper Industry in Zambia	CUNNINGHAM, S.	Ingles	Libro	EEUU	Praeger Publishers	1981	Primera	1	Bueno	
609	2M-3E	Fila 3	YGe 64	E	E5	Yacimientos-Geol. Económica	Copper the Anatomy of an Industry	PRAIN, R.	Ingles	Libro	Gran Bretaña	Mining Journals Books	1975	Primera	1	Bueno	
610	2M-3E	Fila 3	YGe 65	E	E5	Yacimientos-Geol. Económica	Lead – zinc Update	RAUSCH, D. O.STEPHENS, F.M. Jr., MARIACHER, B.C.	Ingles	Libro	EEUU	The American Institute of Mining, Metallurgical and Petroleum	1977	Primera	1	Bueno	
611	2M-3E	Fila 3	YGe 66	E	E5	Yacimientos-Geol. Económica	Gold and Silver Handbook	IVOSEVIC, S.W.	Ingles	Libro	Colorado-EEUU	S/E	1984	Primera	1	Bueno	
612	2M-3E	Fila 3	YGe 67	E	E5	Yacimientos-Geol. Económica	New Profits in Gold, Silver & Strategic Metals	CAVELTI, P. C.	Ingles	Libro	Ontario-Canada	McGraw-Hill	1985	Primera	1	Bueno	
613	2M-3E	Fila 3	YGe 68	E	E5	Yacimientos-Geol. Económica	Real del Monte	RANDALL, R. W.	Ingles	Libro	Texas-EEUU	The University of Texas Press	1925	Primera	1	Bueno	
614	2M-3E	Fila 3	YGe 69	E	E5	Yacimientos-Geol. Económica	La pequeña Minería del Oro en el Departamento de Nariño	PEREZ, J., RAMIREZ, J., ALOMIA, E.	Español	Libro	Pasto-Colombia	S/E	1980	Primera	1	Malo	
615	2M-3E	Fila 3	YGe 70	E	E5	Yacimientos-Geol. Económica	Gold, silver, uraniun, and coal	FUERSTENAU, M. C.	Ingles	Libro	EEUU	The American Institute of Mining, Metallurgical and Petroleum	1983	Primera	1	Bueno	
616	2M-3E	Fila 3	YGe 71	E	E5	Yacimientos-Geol. Económica	Análisis de antecedentes de una negociación de prospección. Exploración y explotación de uranio	SCHULCZEWSKI, R. H.	Ingles	Libro	N/A	S/E	1985	Primera	2	Malo	INVESTIGACION
