Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
973	2M-6E	Fila 2	MaM  36	F	F1	Manuales	Prospecting in Areas of Glacial Terrain	JONES, M.J.	Ingles	Manuales - metodología	Gran Bretaña	The Institution of Mining and Metallurgy	1973	Primera	1	Bueno	
974	2M-6E	Fila 2	MaM  37	F	F1	Manuales	Prospecting in Areas of Glaciated Terrain 1975	JONES, M.J.	Ingles	Manuales - metodología	Londres-Reino Unido	The Institution of Mining and Metallurgy	1975	Primera	1	Bueno	
975	2M-6E	Fila 2	MaM  38	F	F1	Manuales	Coastal Mapping Handbook	ELLIS, M. Y.	Ingles	Manuales - metodología	Washington-EEUU	U.S. Goverment Printing Office	1978	Primera	1	Malo	
976	2M-6E	Fila 2	MaM  39	F	F1	Manuales	Mine Access Design, Volume 1 Course Notes	DYNATEC, CIDA	Ingles	Manuales - metodología	Ontario-Canada	Canadian International Develpment Agency	1985	Primera	1	Malo	
977	2M-6E	Fila 2	MaM  40	F	F1	Manuales	Manual para Investigaciones en Levantamientos de Suelos. Procedimientos de Campo	Programa Regional para Desarrollo del Sur del Ecuador	Español	Manuales - metodología	Ecuador	PREDESUR	1975	Primera	1	Malo	
978	2M-6E	Fila 2	MaM  41	F	F1	Manuales	Exploration and Mining Geology (copia)	PETERS, W. C.	Ingles	Manuales - metodología	EEUU	John Wiley and Sons, INC	1978	Primera	1	Malo	
979	2M-6E	Fila 2	MaM  42	F	F1	Manuales	Exploration and mining geology	PETERS, W. C.	Ingles	Manuales - metodología	CANADÁ	John Wiley and Sons, INC	1978	Primera	1	Bueno	
980	2M-6E	Fila 2	MaM  43	F	F1	Manuales	Laboratory Handbook of Petrographic Techniques	HUTCHISON, Ch.S.	Ingles	Manuales - metodología	CANADÁ	John Wiley and Sons, INC	1974	Primera	2	Bueno	
981	2M-6E	Fila 3	MaM  44	F	F1	Manuales	Blaster´s Handbook	E.I. DU PONT DE NEMOURS & COMPANY (INC.)	Ingles	Manuales - metodología	EEUU	Du Pont de Nemours & Company	1998	Catorceava	1	Bueno	
982	2M-6E	Fila 3	MaM  45	F	F1	Manuales	Data Handbook for clay materials and other non-metallic minerals	VAN OLPHEN, H., FRIPIAT, J.J.	Ingles	Manuales - metodología	Londres-Reino Unido	PERGAMON PRESS	1979	Primera	1	Bueno	
983	2M-6E	Fila 3	MaM  46	F	F1	Manuales	Mineral  Deposit Evaluation. A Practical  Approach	ANNELS, A. E.	Ingles	Manuales - metodología	Gran Bretaña	Chapman & Hall	1991	Primera	1	Bueno	
984	2M-6E	Fila 3	MaM  47	F	F1	Manuales	Techniques in Mineral Exploration	REEDMAN, J. H.	Ingles	Manuales - metodología	Gran Bretaña	Applied Science Publishers Ltd	1979	Primera	1	Bueno	
985	2M-6E	Fila 3	MaM  48	F	F1	Manuales	Selected Powder Diffraction Data for Minerals	BEERY, L. G.	Ingles	Manuales - metodología	Filadelfia-EEUU	Joint Committe on Powder Diffraction Standars	1974	Primera	1	Bueno	
986	2M-6E	Fila 3	MaM  49	F	F1	Manuales	SME Mineral processing handbook	WEISS, N.  L.	Ingles	Manuales - metodología	EEUU	American Institute of Mining, Metallurgical and Petroleum 	1985	Primera	1	Bueno	
987	2M-6E	Fila 3	MaM  50	F	F1	Manuales	E&MJ Operating Handbook of Mineral Processing Vol 1 - E/MJ	THOMAS, R.	Ingles	Manuales - metodología	New York-EEUU	McGraw-Hill	1977	Primera	1	Bueno	
988	2M-6E	Fila 3	MaM  51	F	F1	Manuales	E&MJ Second Operating Handbook of Mineral Processing, Vol 4 	WHITE, L.	Ingles	Manuales - metodología	New York-EEUU	McGraw-Hill	1980	Primera	1	Bueno	
989	2M-6E	Fila 3	MaM  52	F	F1	Manuales	Técnicas de Prospección Uranífera aplicadas en la República de Argentina	FRIZ, C., MARINKEFF, K., COCO, A., SANTOMERO, A., MUSET, J.	español	Manuales - metodología	Argentina	S/E	1972	Primera	1	Bueno	PAPER
990	2M-6E	Fila 3	MaM  53	F	F1	Manuales	Metodología de Exploración Geotérmica 	Organización Latinoamericana de Energía	español	Manuales - metodología	N/A	OLADE	1978	Primera	1	Bueno	
991	2M-6E	Fila 3	MaM  54	F	F1	Manuales	The practical pocket guide for field and office	ENGINEERING NEWS-RECORD	Ingles	Manuales - metodología	New York-EEUU	Engineering News Record	s/f	Primera	1	Malo	
992	2M-6E	Fila 3	MaM  55	F	F1	Manuales	Manual de Normas y Diccionarios para Mapeo Digital, Versiòn 2. SIM-PRODEMINCA	DUQUE, P., CHICANGO, F., CANDO, M.	español	Manuales - metodología	N/A	PRODEMINCA	2000	Primera	1	Bueno	
993	2M-6E	Fila 3	MaM  62	F	F1	Manuales	Guía básica de utilización pro mark 3 (GPS)	Thales Navigation	Ingles	Manuales - metodología	N/A	S/E	2005	Primera	1	Bueno	GUÍA
994	2M-6E	Fila 3	MaM  63	F	F1	Manuales	Uso de equipos para análisis de agua	ORBEA, H., LOPEZ, M., FLORES, F.	Ingles	Manuales - metodología	N/A	CODIGEM	1998	Primera	1	Bueno	
995	2M-6E	Fila 3	MaM  66	F	F1	Manuales	Manual de referencia de ingeniería medioambiental. Capitulo 5: Abastecimiento de agua	CLARK, R., SETHI, V., TIPPIN, D.	Ingles	Manuales - metodología	N/A	S/E	s/f	Primera	1	Bueno	
996	2M-6E	Fila 3	MaM  67	F	F1	Manuales	Practical identification of clay minerals	THOREZ, J.	Ingles	Manuales - metodología	Bélgica	G. LELOTTE	1976	Primera	1	Bueno	
997	2M-6E	Fila 3	MaM  68	F	F1	Manuales	Handbook for small mining enterprises	EARLL, F.N., STOUT, K.S., GRISWOLD, Jr., SMITH, R.I., KELLY, F.H., EMBLEN, D.J., VINE, W.A., DAHLEM, D.H.	Ingles	Boletin	N/A	S/E	1976	Primera	1	Malo	
